feedback,sentiment,topic,split,feedback_sach,ten_cam_xuc,ten_chu_de,so_tu
nâng cao trang thiết bị phòng học .,0,2,train,nâng cao trang thiết bị phòng học,Tiêu cực,Cơ sở vật chất,7
phòng thực hành cần nâng cấp và bổ sung thêm thiết bị để mọi người đều có điều kiện thực hành thực tế nhiều hơn .,0,2,train,phòng thực hành cần nâng cấp và bổ sung thêm thiết bị để mọi người đều có điều kiện thực hành thực tế nhiều hơn,Tiêu cực,Cơ sở vật chất,25
"phòng học quá sáng , màn chiếu bị mờ rất khó nhìn , xin ban quản lý lắp rèm để sinh viên và giảng viên thuận tiện trong việc học tập và giảng dạy .",0,2,train,phòng học quá sáng màn chiếu bị mờ rất khó nhìn xin ban quản lý lắp rèm để sinh viên và giảng viên thuận tiện trong việc học tập và giảng dạy,Tiêu cực,Cơ sở vật chất,32
thêm hệ thống ổ điện ngầm dưới nền nhà để tiện cho việc sinh viên có thể cắm laptop phục vụ học tập .,0,2,train,thêm hệ thống ổ điện ngầm dưới nền nhà để tiện cho việc sinh viên có thể cắm laptop phục vụ học tập,Tiêu cực,Cơ sở vật chất,23
cải tiến trang thiết bị phòng thực hành .,0,2,train,cải tiến trang thiết bị phòng thực hành,Tiêu cực,Cơ sở vật chất,8
các thiết bị âm thanh cần được đảm bảo hơn .,0,2,train,các thiết bị âm thanh cần được đảm bảo hơn,Tiêu cực,Cơ sở vật chất,10
"lắp quạt phù hợp vì phòng có 2 dãy quạt 2 bên nhưng ngồi ở dãy giữa vẫn nóng , cần có màn che cửa sổ và có ổ cắm điện .",0,2,train,lắp quạt phù hợp vì phòng có 2 dãy quạt 2 bên nhưng ngồi ở dãy giữa vẫn nóng cần có màn che cửa sổ và có ổ cắm điện,Tiêu cực,Cơ sở vật chất,30
cần có nhiều buổi thực hành trên thiết bị thật hoặc giảng viên nên đem thiết bị thật làm vài bày mẫu trên lớp .,0,2,train,cần có nhiều buổi thực hành trên thiết bị thật hoặc giảng viên nên đem thiết bị thật làm vài bày mẫu trên lớp,Tiêu cực,Cơ sở vật chất,24
"trang thiết bị còn hỏng hóc nhiều , thường xuyên trục trặc trong giờ học .",0,2,train,trang thiết bị còn hỏng hóc nhiều thường xuyên trục trặc trong giờ học,Tiêu cực,Cơ sở vật chất,14
phòng wzjwz325 thiết bị âm thanh hay xảy ra trục trặc làm gián đoạn buổi học .,0,2,train,phòng wzjwz325 thiết bị âm thanh hay xảy ra trục trặc làm gián đoạn buổi học,Tiêu cực,Cơ sở vật chất,16
điều chỉnh máy chiếu phù hợp với kích thước phông màn !,0,2,train,điều chỉnh máy chiếu phù hợp với kích thước phông màn,Tiêu cực,Cơ sở vật chất,11
wifi yếu .,0,2,train,wifi yếu,Tiêu cực,Cơ sở vật chất,2
tăng cường chất lượng phòng học .,0,2,train,tăng cường chất lượng phòng học,Tiêu cực,Cơ sở vật chất,6
thấy giảng dạy nói môn này muốn học thì phải có phòng thí nghiệm .,2,2,train,thấy giảng dạy nói môn này muốn học thì phải có phòng thí nghiệm,Trung lập,Cơ sở vật chất,14
"phòng thực hành cần nâng cấp các bộ kit , thực hành chưa hiệu quả .",0,2,train,phòng thực hành cần nâng cấp các bộ kit thực hành chưa hiệu quả,Tiêu cực,Cơ sở vật chất,14
"phòng học quá nóng , máy chiếu mờ .",0,2,train,phòng học quá nóng máy chiếu mờ,Tiêu cực,Cơ sở vật chất,7
lắp thêm rèm của để máy chiếu được hiệu quả hơn .,0,2,train,lắp thêm rèm của để máy chiếu được hiệu quả hơn,Tiêu cực,Cơ sở vật chất,11
"phòng học vô cùng nóng , quạt chỉ để trang trí .",0,2,train,phòng học vô cùng nóng quạt chỉ để trang trí,Tiêu cực,Cơ sở vật chất,10
"hỗ trợ thêm thiết bị cho việc giảng dạy môn anh văn , nếu có điều kiện có thể cho sinh viên học kỹ năng nghe anh văn trong phòng máy với trang thiết bị như tai nghe .",0,2,train,hỗ trợ thêm thiết bị cho việc giảng dạy môn anh văn nếu có điều kiện có thể cho sinh viên học kỹ năng nghe anh văn trong phòng máy với trang thiết bị như tai nghe,Tiêu cực,Cơ sở vật chất,37
máy chiếu mờ phòng học hơi nóng .,0,2,train,máy chiếu mờ phòng học hơi nóng,Tiêu cực,Cơ sở vật chất,7
cần cải thiện hệ thống âm thanh vì đôi lúc gặp trục trặc và không rõ .,0,2,train,cần cải thiện hệ thống âm thanh vì đôi lúc gặp trục trặc và không rõ,Tiêu cực,Cơ sở vật chất,16
"hệ thống phòng máy còn nhiều vấn đề doubledot chuột , bàn phím hỏng , vdotv .",0,2,train,hệ thống phòng máy còn nhiều vấn đề doubledot chuột bàn phím hỏng vdotv,Tiêu cực,Cơ sở vật chất,14
máy tính trường nên nâng cấp .,0,2,train,máy tính trường nên nâng cấp,Tiêu cực,Cơ sở vật chất,6
"bàn giáo viên rất dơ , quạt máy thì chạy như không có chạy , mở chỉ thêm tốn điện , không có mát .",0,2,train,bàn giáo viên rất dơ quạt máy thì chạy như không có chạy mở chỉ thêm tốn điện không có mát,Tiêu cực,Cơ sở vật chất,21
"em mong học kỳ tới , nhà trường cung cấp cho những lớp phần mềm chất lượng cao chúng em nhiều sự lựa chọn giảng viên cho môn học game cơ bản để chúng em có thể nhanh chóng hoàn thành môn học và ra trường đúng tiến độ .",0,2,train,em mong học kỳ tới nhà trường cung cấp cho những lớp phần mềm chất lượng cao chúng em nhiều sự lựa chọn giảng viên cho môn học game cơ bản để chúng em có thể nhanh chóng hoàn thành môn học và ra trường đúng tiến độ,Tiêu cực,Cơ sở vật chất,48
có lẽ phải nâng cấp trang thiết bị .,0,2,train,có lẽ phải nâng cấp trang thiết bị,Tiêu cực,Cơ sở vật chất,8
cần nâng cao hệ thống thiết bị giảng dạy .,0,2,train,cần nâng cao hệ thống thiết bị giảng dạy,Tiêu cực,Cơ sở vật chất,9
trang thiết bị nên tốt hơn .,0,2,train,trang thiết bị nên tốt hơn,Tiêu cực,Cơ sở vật chất,6
nhưng mà phòng thực hành hiện tại thì chỉ trang bị máy có 1 gb ram thôi .,0,2,train,nhưng mà phòng thực hành hiện tại thì chỉ trang bị máy có 1 gb ram thôi,Tiêu cực,Cơ sở vật chất,17
tăng cường thiết bị .,2,2,train,tăng cường thiết bị,Trung lập,Cơ sở vật chất,4
nhà trường nên cài bộ microsoft visual studio phiên bản mới hơn 2010 .,0,2,train,nhà trường nên cài bộ microsoft visual studio phiên bản mới hơn 2010,Tiêu cực,Cơ sở vật chất,13
micro hay bị hú và rè .,0,2,train,micro hay bị hú và rè,Tiêu cực,Cơ sở vật chất,6
cải thiện chất lượng phòng học và các trang thiết bị hỗ trợ việc học tập .,0,2,train,cải thiện chất lượng phòng học và các trang thiết bị hỗ trợ việc học tập,Tiêu cực,Cơ sở vật chất,16
nâng cao trang thiết bị học tập .,0,2,train,nâng cao trang thiết bị học tập,Tiêu cực,Cơ sở vật chất,7
"cần sắp xếp phòng học cho hợp lý hơn , kèm theo các thiết bị , công cụ chiếu .",0,2,train,cần sắp xếp phòng học cho hợp lý hơn kèm theo các thiết bị công cụ chiếu,Tiêu cực,Cơ sở vật chất,17
sửa chữa những thiết bị máy tính hư trong phòng máy .,0,2,train,sửa chữa những thiết bị máy tính hư trong phòng máy,Tiêu cực,Cơ sở vật chất,11
phòng wzjwz98 dãy nhà wzjwz99 buổi chiều quá nóng và nắng !,0,2,train,phòng wzjwz98 dãy nhà wzjwz99 buổi chiều quá nóng và nắng,Tiêu cực,Cơ sở vật chất,11
"bổ xung trang thiết bị thực hành thực tiễn cho môn này , không chỉ đơn thuần là thực hành trên máy tính không .",0,2,train,bổ xung trang thiết bị thực hành thực tiễn cho môn này không chỉ đơn thuần là thực hành trên máy tính không,Tiêu cực,Cơ sở vật chất,23
"phòng học quá nóng , thiếu quạt .",0,2,train,phòng học quá nóng thiếu quạt,Tiêu cực,Cơ sở vật chất,6
phòng máy không sử dụng được .,0,2,train,phòng máy không sử dụng được,Tiêu cực,Cơ sở vật chất,6
"phòng máy quá cũ , internet không có , nhỏ , máy cấu hình quá yếu .",0,2,train,phòng máy quá cũ internet không có nhỏ máy cấu hình quá yếu,Tiêu cực,Cơ sở vật chất,13
nhiều khi đang làm thực hành mà không có mạng để tìm hiểu thứ mình cần .,0,2,train,nhiều khi đang làm thực hành mà không có mạng để tìm hiểu thứ mình cần,Tiêu cực,Cơ sở vật chất,16
phòng thực hành wzjwz53 cần được nâng cấp .,0,2,train,phòng thực hành wzjwz53 cần được nâng cấp,Tiêu cực,Cơ sở vật chất,8
học gần công trình thì công thật không thể chịu nổi .,0,2,train,học gần công trình thì công thật không thể chịu nổi,Tiêu cực,Cơ sở vật chất,11
máy chiếu phòng wzjwz11 chất lượng quá kém .,0,2,train,máy chiếu phòng wzjwz11 chất lượng quá kém,Tiêu cực,Cơ sở vật chất,8
đề nghị nhà trường nên đầu tư thêm cho phòng máy và cập nhật các phần mềm phục vụ cho học tập .,0,2,train,đề nghị nhà trường nên đầu tư thêm cho phòng máy và cập nhật các phần mềm phục vụ cho học tập,Tiêu cực,Cơ sở vật chất,22
"máy tính của phòng thực hành không phục vụ được nội dung thực hành , giảng viên yêu cầu tự làm trên laptop rồi mang lên phòng thực hành chấm điểm , vậy phòng thực hành dùng để chấm điểm ?",0,2,train,máy tính của phòng thực hành không phục vụ được nội dung thực hành giảng viên yêu cầu tự làm trên laptop rồi mang lên phòng thực hành chấm điểm vậy phòng thực hành dùng để chấm điểm,Tiêu cực,Cơ sở vật chất,38
"nâng cấp trang thiết bị , đặc biệt là loa nghe để có chật lượng tốt nhất .",0,2,train,nâng cấp trang thiết bị đặc biệt là loa nghe để có chật lượng tốt nhất,Tiêu cực,Cơ sở vật chất,16
"theo như yêu cầu của môn học , sinh viên phải mang lap để làm bài tập , tuy nhiên ổ cắm trong phòng chỉ có 2 ổ , không đáp ứng được nhu cầu dạy và học của giảng viên lẫn sinh viên .",0,2,train,theo như yêu cầu của môn học sinh viên phải mang lap để làm bài tập tuy nhiên ổ cắm trong phòng chỉ có 2 ổ không đáp ứng được nhu cầu dạy và học của giảng viên lẫn sinh viên,Tiêu cực,Cơ sở vật chất,41
cần nâng cao chất lượng cơ sở vật chất hơn .,0,2,train,cần nâng cao chất lượng cơ sở vật chất hơn,Tiêu cực,Cơ sở vật chất,10
"máy chiếu phòng wzjwz104 rất hay tắt , mở được một lúc là nóng quá rồi tắt , không sử dụng được nữa .",0,2,train,máy chiếu phòng wzjwz104 rất hay tắt mở được một lúc là nóng quá rồi tắt không sử dụng được nữa,Tiêu cực,Cơ sở vật chất,21
"phòng học buổi trưa rất nóng , có thể trang bị thêm quạt thì tốt hơn .",0,2,train,phòng học buổi trưa rất nóng có thể trang bị thêm quạt thì tốt hơn,Tiêu cực,Cơ sở vật chất,15
lý do doubledot tới ngày thi ngồi ngay 2 máy hư .,0,2,train,lý do doubledot tới ngày thi ngồi ngay 2 máy hư,Tiêu cực,Cơ sở vật chất,11
"phòng học còn nóng và bụi bặm , máy chiếu tuy là vẫn thầy được nhưng như thế vẫn là mờ , đề nghị khắc phục vấn đề này .",0,2,train,phòng học còn nóng và bụi bặm máy chiếu tuy là vẫn thầy được nhưng như thế vẫn là mờ đề nghị khắc phục vấn đề này,Tiêu cực,Cơ sở vật chất,27
giảng đường quá nóng .,0,2,train,giảng đường quá nóng,Tiêu cực,Cơ sở vật chất,4
nếu trang thiết bị đã không đáp ứng được thì tại sao trường không tạo điều kiện kéo dây mạng cho sinh viên cắm vào laptop .,0,2,train,nếu trang thiết bị đã không đáp ứng được thì tại sao trường không tạo điều kiện kéo dây mạng cho sinh viên cắm vào laptop,Tiêu cực,Cơ sở vật chất,26
"nâng cao trang thiết bị phòng học doubledot máy chiếu , quạt .",0,2,train,nâng cao trang thiết bị phòng học doubledot máy chiếu quạt,Tiêu cực,Cơ sở vật chất,11
sử dụng máy chiếu slide ví dụ cụ thể hơn .,0,2,train,sử dụng máy chiếu slide ví dụ cụ thể hơn,Tiêu cực,Cơ sở vật chất,10
"tránh tình trạng giảng viên đang dạy thì hết phấn , micro hết pin .",0,2,train,tránh tình trạng giảng viên đang dạy thì hết phấn micro hết pin,Tiêu cực,Cơ sở vật chất,13
"đầu tư phòng lab thực hành trên thiết bị thật , có quy mô .",0,2,train,đầu tư phòng lab thực hành trên thiết bị thật có quy mô,Tiêu cực,Cơ sở vật chất,13
"phòng thực hành thì máy bị treo , bị hư hoài , dây mạng thì cắm lúc nhận lúc không .",0,2,train,phòng thực hành thì máy bị treo bị hư hoài dây mạng thì cắm lúc nhận lúc không,Tiêu cực,Cơ sở vật chất,18
"nên trang bị thêm các lớp thực hành để sinh viên có cơ hội thao tác trên thực tế nhà trường nên trang bị rèm cửa sổ để tránh ánh sáng làm mờ máy chiếu , gây khó khăn trong việc báo cáo đồ án cũng như dạy học .",0,2,train,nên trang bị thêm các lớp thực hành để sinh viên có cơ hội thao tác trên thực tế nhà trường nên trang bị rèm cửa sổ để tránh ánh sáng làm mờ máy chiếu gây khó khăn trong việc báo cáo đồ án cũng như dạy học,Tiêu cực,Cơ sở vật chất,48
"máy chiếu khá mờ , âm thanh gặp nhiều vấn đề trục trặc .",0,2,train,máy chiếu khá mờ âm thanh gặp nhiều vấn đề trục trặc,Tiêu cực,Cơ sở vật chất,12
cần có các thiết bị thực hành đầy đủ .,0,2,train,cần có các thiết bị thực hành đầy đủ,Tiêu cực,Cơ sở vật chất,9
nên nâng cấp và bảo trì các phòng máy cũ thường xuyên hơn .,0,2,train,nên nâng cấp và bảo trì các phòng máy cũ thường xuyên hơn,Tiêu cực,Cơ sở vật chất,13
phải nâng cấp phòng máy .,0,2,train,phải nâng cấp phòng máy,Tiêu cực,Cơ sở vật chất,5
"máy chiếu quá mờ , đề nghị thay đổi .",0,2,train,máy chiếu quá mờ đề nghị thay đổi,Tiêu cực,Cơ sở vật chất,8
"lại dùng visual studio 2005 nên tôi xin có ý kiến về việc nâng cấp bản visual studio lên 2008 , 2010 để việc học và thi trở nên dễ dàng , hiệu quả hơn !",0,2,train,lại dùng visual studio 2005 nên tôi xin có ý kiến về việc nâng cấp bản visual studio lên 2008 2010 để việc học và thi trở nên dễ dàng hiệu quả hơn,Tiêu cực,Cơ sở vật chất,33
chất lượng phòng thực hành quá kém .,0,2,train,chất lượng phòng thực hành quá kém,Tiêu cực,Cơ sở vật chất,7
môn bài tập ta thường học trong phòng với đồ lau bảng không sạch làm ảnh hưởng đến các bài tập tiếp theo khi các bạn làm đè lên phần bôi chưa sạch .,0,2,train,môn bài tập ta thường học trong phòng với đồ lau bảng không sạch làm ảnh hưởng đến các bài tập tiếp theo khi các bạn làm đè lên phần bôi chưa sạch,Tiêu cực,Cơ sở vật chất,33
hồ bơi bẩn .,0,2,train,hồ bơi bẩn,Tiêu cực,Cơ sở vật chất,3
các phòng máy nên được cài đặt phần mềm liên quan đầy đủ hơn .,0,2,train,các phòng máy nên được cài đặt phần mềm liên quan đầy đủ hơn,Tiêu cực,Cơ sở vật chất,14
phải đầu tư thêm trang thiết bị cho phòng thực hành .,0,2,train,phải đầu tư thêm trang thiết bị cho phòng thực hành,Tiêu cực,Cơ sở vật chất,11
"lớp học rộng rãi , giãng viên dạy nhiệt tình .",1,2,train,lớp học rộng rãi giãng viên dạy nhiệt tình,Tích cực,Cơ sở vật chất,9
"nhà trường nên trang bị rèm cửa sổ để tránh ánh sáng làm mờ máy chiếu , gây khó khăn trong việc báo cáo đồ án cũng như dạy học .",0,2,train,nhà trường nên trang bị rèm cửa sổ để tránh ánh sáng làm mờ máy chiếu gây khó khăn trong việc báo cáo đồ án cũng như dạy học,Tiêu cực,Cơ sở vật chất,29
"linh kiện , máy tính của trường đã cũ , hư hỏng nhiều mà học phí năm học nào cũng tăng .",0,2,train,linh kiện máy tính của trường đã cũ hư hỏng nhiều mà học phí năm học nào cũng tăng,Tiêu cực,Cơ sở vật chất,19
tại trường đang có 2 công trình đang xây nên lúc vào học rất ồn .,0,2,train,tại trường đang có 2 công trình đang xây nên lúc vào học rất ồn,Tiêu cực,Cơ sở vật chất,15
"theo em , cần trang bị và sửa chữa máy chiếu .",0,2,train,theo em cần trang bị và sửa chữa máy chiếu,Tiêu cực,Cơ sở vật chất,10
"nâng cấp hệ thống máy vi tính trong phòng thực hành doubledot phòng thực hành altera không có kết nối internet , nên cần phải đảm bảo kết nối mạng để hiệu quả thực hành đạt hiệu quả cao hơn .",0,2,train,nâng cấp hệ thống máy vi tính trong phòng thực hành doubledot phòng thực hành altera không có kết nối internet nên cần phải đảm bảo kết nối mạng để hiệu quả thực hành đạt hiệu quả cao hơn,Tiêu cực,Cơ sở vật chất,39
phòng máy không đáp ứng được yêu cầu .,0,2,train,phòng máy không đáp ứng được yêu cầu,Tiêu cực,Cơ sở vật chất,8
cần có các tiết thực hành với trang thiết bị hiện đại .,0,2,train,cần có các tiết thực hành với trang thiết bị hiện đại,Tiêu cực,Cơ sở vật chất,12
nâng cao chất lượng phòng máy .,0,2,train,nâng cao chất lượng phòng máy,Tiêu cực,Cơ sở vật chất,6
"sử dụng dụng cụ dạy học có chất lượng tốt , ví dụ như máy nghe tiếng anh chất lượng tốt .",0,2,train,sử dụng dụng cụ dạy học có chất lượng tốt ví dụ như máy nghe tiếng anh chất lượng tốt,Tiêu cực,Cơ sở vật chất,20
có nhiều trang thiết bị giảng dạy hơn .,0,2,train,có nhiều trang thiết bị giảng dạy hơn,Tiêu cực,Cơ sở vật chất,8
"phòng thực hành quá kém chất lượng , máy móc không đảm bảo .",0,2,train,phòng thực hành quá kém chất lượng máy móc không đảm bảo,Tiêu cực,Cơ sở vật chất,12
wifi các phòng thực hành thường rất yếu .,0,2,train,wifi các phòng thực hành thường rất yếu,Tiêu cực,Cơ sở vật chất,8
nên trang bị rèm che cửa .,0,2,train,nên trang bị rèm che cửa,Tiêu cực,Cơ sở vật chất,6
"phần thi nghe , nhà trường nên trang bị hệ thống loa cho tốt , chứ máy cassette mấy bạn ngồi ở cuối lớp không nghe được gì cả quá nhỏ ồn .",0,2,train,phần thi nghe nhà trường nên trang bị hệ thống loa cho tốt chứ máy cassette mấy bạn ngồi ở cuối lớp không nghe được gì cả quá nhỏ ồn,Tiêu cực,Cơ sở vật chất,30
dù sao em cũng cám ơn thầy đã dẫn dắt bọn em ở học kỳ hai này ạ .,2,2,train,dù sao em cũng cám ơn thầy đã dẫn dắt bọn em ở học kỳ hai này ạ,Trung lập,Cơ sở vật chất,18
phòng máy ngon hơn .,0,2,train,phòng máy ngon hơn,Tiêu cực,Cơ sở vật chất,4
phòng thực hành có quá nhiều máy bị hỏng .,0,2,train,phòng thực hành có quá nhiều máy bị hỏng,Tiêu cực,Cơ sở vật chất,9
máy chiếu phòng wzjwz3 cần được sửa chữa hoặc thay mới để lớp có đủ điều kiện học .,0,2,train,máy chiếu phòng wzjwz3 cần được sửa chữa hoặc thay mới để lớp có đủ điều kiện học,Tiêu cực,Cơ sở vật chất,18
"phòng học được trang bị tốt hơn , đảm bảo tốt cho công tác giảng dạy .",2,2,train,phòng học được trang bị tốt hơn đảm bảo tốt cho công tác giảng dạy,Trung lập,Cơ sở vật chất,15
"các thiết bị giảng dạy môn học có thể không đảm bảo chất lượng , nhiều thiết bị hoạt động không tốt như doubledot loa , máy chiếu .",0,2,train,các thiết bị giảng dạy môn học có thể không đảm bảo chất lượng nhiều thiết bị hoạt động không tốt như doubledot loa máy chiếu,Tiêu cực,Cơ sở vật chất,26
"phòng học hơi nhỏ , nên nâng cấp .",0,2,train,phòng học hơi nhỏ nên nâng cấp,Tiêu cực,Cơ sở vật chất,7
phòng học cần phù hợp với số lượng sinh viên .,0,2,train,phòng học cần phù hợp với số lượng sinh viên,Tiêu cực,Cơ sở vật chất,10
phòng thực hành cần được chuyển qua một phòng lớn hơn .,0,2,train,phòng thực hành cần được chuyển qua một phòng lớn hơn,Tiêu cực,Cơ sở vật chất,11
cần cài đặt matlab trên các máy ở phòng thực hành .,0,2,train,cần cài đặt matlab trên các máy ở phòng thực hành,Tiêu cực,Cơ sở vật chất,11
"bộ kit thực hành cần được nâng cấp để không xảy ra tình trạng hư , trục trặc .",0,2,train,bộ kit thực hành cần được nâng cấp để không xảy ra tình trạng hư trục trặc,Tiêu cực,Cơ sở vật chất,17
