feedback,sentiment,topic,split,feedback_sach,ten_cam_xuc,ten_chu_de,so_tu
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,0,1,train,nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì,Tiêu cực,Chương trình,23
thực hành khó hiểu .,0,1,train,thực hành khó hiểu,Tiêu cực,Chương trình,4
cô rất nhiệt tình và tận dụng tốt thời gian .,1,1,train,cô rất nhiệt tình và tận dụng tốt thời gian,Tích cực,Chương trình,10
bài tập và có code tham khảo .,1,1,train,bài tập và có code tham khảo,Tích cực,Chương trình,7
tài liệu không chi tiết lắm .,0,1,train,tài liệu không chi tiết lắm,Tiêu cực,Chương trình,6
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,0,1,train,nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin,Tiêu cực,Chương trình,24
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,2,1,train,ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm,Trung lập,Chương trình,13
giáo trình quá ít và nội dung không khác nhau là mấy .,0,1,train,giáo trình quá ít và nội dung không khác nhau là mấy,Tiêu cực,Chương trình,12
không đáp ứng được đề cương môn học đề ra .,0,1,train,không đáp ứng được đề cương môn học đề ra,Tiêu cực,Chương trình,10
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",0,1,train,môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới dễ hiểu và giảng giải cụ thể hơn,Tiêu cực,Chương trình,22
bài tập và hoạt động nhóm còn ít .,0,1,train,bài tập và hoạt động nhóm còn ít,Tiêu cực,Chương trình,8
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,0,1,train,hiện tại em chưa thấy tác dụng gì nhiều khi học môn này,Tiêu cực,Chương trình,13
lớp học quá đông !,0,1,train,lớp học quá đông,Tiêu cực,Chương trình,4
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",0,1,train,môn căn bản mà thầy không dạy cho sinh viên kỹ gây không hiểu mất căn bản,Tiêu cực,Chương trình,17
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",0,1,train,mà hiện tại trường ta chưa có đây là thiệt thòi lớn đối với tụi em,Tiêu cực,Chương trình,16
"môn học chưa thực tiễn , chưa thu hút sinh viên .",0,1,train,môn học chưa thực tiễn chưa thu hút sinh viên,Tiêu cực,Chương trình,10
ít làm bài tập .,0,1,train,ít làm bài tập,Tiêu cực,Chương trình,4
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,0,1,train,môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu,Tiêu cực,Chương trình,22
cần thêm nhiều tài liệu cho sinh viên .,0,1,train,cần thêm nhiều tài liệu cho sinh viên,Tiêu cực,Chương trình,8
bài tập trên lớp .,2,1,train,bài tập trên lớp,Trung lập,Chương trình,4
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,0,1,train,tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học,Tiêu cực,Chương trình,19
thực hành và lý thuyết nên dạy song song .,0,1,train,thực hành và lý thuyết nên dạy song song,Tiêu cực,Chương trình,9
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,0,1,train,bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng,Tiêu cực,Chương trình,36
cập nhật bài tập mới .,0,1,train,cập nhật bài tập mới,Tiêu cực,Chương trình,5
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,0,1,train,môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp,Tiêu cực,Chương trình,35
không đáp ứng được nhu cầu của sinh viên .,0,1,train,không đáp ứng được nhu cầu của sinh viên,Tiêu cực,Chương trình,9
em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,0,1,train,em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung,Tiêu cực,Chương trình,19
cần thêm nhiều tài liệu cho môn học .,0,1,train,cần thêm nhiều tài liệu cho môn học,Tiêu cực,Chương trình,8
cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,0,1,train,cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu,Tiêu cực,Chương trình,22
các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,0,1,train,các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án,Tiêu cực,Chương trình,28
"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",0,1,train,cần cải cách lại nội dung các bài thực hành một số kiến nội dung trong bài thực hành đã trở nên lỗi thời,Tiêu cực,Chương trình,24
bài tập cần đa dạng hơn .,0,1,train,bài tập cần đa dạng hơn,Tiêu cực,Chương trình,6
em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,0,1,train,em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành,Tiêu cực,Chương trình,13
làm bài tập nhiều mặc dù không hiểu lắm .,0,1,train,làm bài tập nhiều mặc dù không hiểu lắm,Tiêu cực,Chương trình,9
cần đưa ra nhiều ví dụ minh họa hơn .,0,1,train,cần đưa ra nhiều ví dụ minh họa hơn,Tiêu cực,Chương trình,9
cần tăng cương trao đổi giữa sinh viên và giáo viên .,0,1,train,cần tăng cương trao đổi giữa sinh viên và giáo viên,Tiêu cực,Chương trình,11
"cấu trúc đề cương của thầy chưa rõ ràng , lý thuyết chưa được trình bày rõ trong các buổi học .",0,1,train,cấu trúc đề cương của thầy chưa rõ ràng lý thuyết chưa được trình bày rõ trong các buổi học,Tiêu cực,Chương trình,20
tài liệu hỗ trợ toàn tiếng anh rất khó học .,0,1,train,tài liệu hỗ trợ toàn tiếng anh rất khó học,Tiêu cực,Chương trình,10
bài tập mỗi tuần đều có và đầy đủ .,1,1,train,bài tập mỗi tuần đều có và đầy đủ,Tích cực,Chương trình,9
đề nghị tăng thời gian thưc hành .,0,1,train,đề nghị tăng thời gian thưc hành,Tiêu cực,Chương trình,7
"kiến thức được giảng viên trình bày rõ ràng , dễ hiểu cho sinh viên .",1,1,train,kiến thức được giảng viên trình bày rõ ràng dễ hiểu cho sinh viên,Tích cực,Chương trình,14
sắp xếp lịch học bù chưa hợp lý .,0,1,train,sắp xếp lịch học bù chưa hợp lý,Tiêu cực,Chương trình,8
"nhà trường nên đưa môn học này vào thời khóa biểu bắt buộc ở học kỳ 1 của các sinh viên năm nhất nhằm giúp các em nắm biết được mình nên học gì , mình có nên chuyển đổi ngành hay không .",0,1,train,nhà trường nên đưa môn học này vào thời khóa biểu bắt buộc ở học kỳ 1 của các sinh viên năm nhất nhằm giúp các em nắm biết được mình nên học gì mình có nên chuyển đổi ngành hay không,Tiêu cực,Chương trình,42
thời gian thực hành cần nhiều hơn .,0,1,train,thời gian thực hành cần nhiều hơn,Tiêu cực,Chương trình,7
slide chuẩn bị chưa tốt .,0,1,train,slide chuẩn bị chưa tốt,Tiêu cực,Chương trình,5
cần tăng cường nội dung nghe và nói để sinh viên giao tiếp tốt hơn bằng tiếng anh .,0,1,train,cần tăng cường nội dung nghe và nói để sinh viên giao tiếp tốt hơn bằng tiếng anh,Tiêu cực,Chương trình,18
chia sẻ .,2,1,train,chia sẻ,Trung lập,Chương trình,2
bám sát nội dung chính .,1,1,train,bám sát nội dung chính,Tích cực,Chương trình,5
cần thêm các đoạn code cho các giải thuật bổ sung các phương pháp để giải quyết các bài toán liệt kê .,0,1,train,cần thêm các đoạn code cho các giải thuật bổ sung các phương pháp để giải quyết các bài toán liệt kê,Tiêu cực,Chương trình,22
thông tin đầy đủ về bài tập và các nguồn tham khảo .,1,1,train,thông tin đầy đủ về bài tập và các nguồn tham khảo,Tích cực,Chương trình,12
"đến khi cuối kỳ , chỉ cần sinh viên mắc một sai sót nhỏ thì sẽ rớt môn .",0,1,train,đến khi cuối kỳ chỉ cần sinh viên mắc một sai sót nhỏ thì sẽ rớt môn,Tiêu cực,Chương trình,17
"cần thay đổi cách dạy và nội dung học của phần thực hành , các bài thực hành hiện tại của môn mạng máy tính chưa đảm bảo hiệu quả .",0,1,train,cần thay đổi cách dạy và nội dung học của phần thực hành các bài thực hành hiện tại của môn mạng máy tính chưa đảm bảo hiệu quả,Tiêu cực,Chương trình,29
"trên lớp lý thuyết giảng viên yêu cầu sinh viên phải thực hiện đồ án theo những gì mình hướng dẫn , những nhóm sinh viên bổ sung thêm những liên hệ thực tiễn đều bị cho là sai , không phù hợp với đồ án .",0,1,train,trên lớp lý thuyết giảng viên yêu cầu sinh viên phải thực hiện đồ án theo những gì mình hướng dẫn những nhóm sinh viên bổ sung thêm những liên hệ thực tiễn đều bị cho là sai không phù hợp với đồ án,Tiêu cực,Chương trình,44
"nội dung khảo sat quá dài , nhiều mục lặp đi lặp lại , nhiều bạn khảo sát mà không cần đọc , toàn tích chàn .",0,1,train,nội dung khảo sat quá dài nhiều mục lặp đi lặp lại nhiều bạn khảo sát mà không cần đọc toàn tích chàn,Tiêu cực,Chương trình,23
bài tập rất hay .,1,1,train,bài tập rất hay,Tích cực,Chương trình,4
cung cấp kiến thức trọng tâm .,1,1,train,cung cấp kiến thức trọng tâm,Tích cực,Chương trình,6
"dù phương pháp học tập này khá hiệu quả nhưng vẫn có chút nào đó nghi ngờ từ phần thuyết trình của các bạn , liệu các kiến thức đó có chuẩn xác và cập nhật chưa .",2,1,train,dù phương pháp học tập này khá hiệu quả nhưng vẫn có chút nào đó nghi ngờ từ phần thuyết trình của các bạn liệu các kiến thức đó có chuẩn xác và cập nhật chưa,Trung lập,Chương trình,36
thậm chí còn không có bài nào khó bằng các bài trong nội dung của lớp chuyên tin ở các trường cấp 3 .,0,1,train,thậm chí còn không có bài nào khó bằng các bài trong nội dung của lớp chuyên tin ở các trường cấp 3,Tiêu cực,Chương trình,23
lịch thi thực hành cần được thông báo sớm tới sinh viên và phù hợp với thời gian môn học .,0,1,train,lịch thi thực hành cần được thông báo sớm tới sinh viên và phù hợp với thời gian môn học,Tiêu cực,Chương trình,20
bài giảng thú vị .,1,1,train,bài giảng thú vị,Tích cực,Chương trình,4
em nghĩ nội dung thực hành nên gần với đồ án hơn .,0,1,train,em nghĩ nội dung thực hành nên gần với đồ án hơn,Tiêu cực,Chương trình,12
"hệ thống đồ án chấm điểm theo mức độ hoàn thành của sinh viên , tạo sự ganh đua không hề nhẹ với những nhóm làm chung đồ án , kích thích sáng tạo không ngừng tìm hiểu xây dựng thêm chức năng mới cho đồ án nếu muốn được điểm cao .",1,1,train,hệ thống đồ án chấm điểm theo mức độ hoàn thành của sinh viên tạo sự ganh đua không hề nhẹ với những nhóm làm chung đồ án kích thích sáng tạo không ngừng tìm hiểu xây dựng thêm chức năng mới cho đồ án nếu muốn được điểm cao,Tích cực,Chương trình,50
ít chú trọng phần ngữ pháp .,0,1,train,ít chú trọng phần ngữ pháp,Tiêu cực,Chương trình,6
nên có giáo trình thống nhất cho tất cả các lớp và học kỳ học .,0,1,train,nên có giáo trình thống nhất cho tất cả các lớp và học kỳ học,Tiêu cực,Chương trình,15
em nghĩ cần có các bài tập lớn để nâng cao khả năng lập trình của các sinh viên .,0,1,train,em nghĩ cần có các bài tập lớn để nâng cao khả năng lập trình của các sinh viên,Tiêu cực,Chương trình,19
"thời lượng môn học quá dài , sinh viên cảm thấy mệt mỏi .",0,1,train,thời lượng môn học quá dài sinh viên cảm thấy mệt mỏi,Tiêu cực,Chương trình,12
cô thật nhiệt tình .,1,1,train,cô thật nhiệt tình,Tích cực,Chương trình,4
phân bổ hợp lý thời gian học và nên cho xem nhiều video hơn là nghe .,0,1,train,phân bổ hợp lý thời gian học và nên cho xem nhiều video hơn là nghe,Tiêu cực,Chương trình,16
"nên đi sâu vào vấn đề , giúp sinh viên hiểu tốt môn học , và nên có những ứng dụng cụ thể mà môn học đem lại .",0,1,train,nên đi sâu vào vấn đề giúp sinh viên hiểu tốt môn học và nên có những ứng dụng cụ thể mà môn học đem lại,Tiêu cực,Chương trình,26
cứ ngỡ được 10 điểm là chắc chắn rồi .,0,1,train,cứ ngỡ được 10 điểm là chắc chắn rồi,Tiêu cực,Chương trình,9
"slide quá khó hiểu , nhiều chỗ không giải thích rõ ràng , đặc biệt là các bài hướng dẫn thực hành .",0,1,train,slide quá khó hiểu nhiều chỗ không giải thích rõ ràng đặc biệt là các bài hướng dẫn thực hành,Tiêu cực,Chương trình,20
bài tập không cho ví dụ về nhà để xem lại .,0,1,train,bài tập không cho ví dụ về nhà để xem lại,Tiêu cực,Chương trình,11
đầy đủ kiến thức .,1,1,train,đầy đủ kiến thức,Tích cực,Chương trình,4
tiết học chưa được thu hút .,0,1,train,tiết học chưa được thu hút,Tiêu cực,Chương trình,6
cần vào thẳng nội dung .,0,1,train,cần vào thẳng nội dung,Tiêu cực,Chương trình,5
cần giải bài tập nhiều hơn .,0,1,train,cần giải bài tập nhiều hơn,Tiêu cực,Chương trình,6
kiến thức giảng dạy môn tiếng anh hầu như không giúp ích nhiều cho sinh viên trong việc tìm hiểu các tài liệu chuyên ngành .,0,1,train,kiến thức giảng dạy môn tiếng anh hầu như không giúp ích nhiều cho sinh viên trong việc tìm hiểu các tài liệu chuyên ngành,Tiêu cực,Chương trình,25
"cách tìm kiếm chúng ở đâu , khai thác chúng ở đâu chứ không phải là phải nhớ mấy cái phương thức hay các hàm rồi viết lên giấy vào đề thi cuối kỳ .",0,1,train,cách tìm kiếm chúng ở đâu khai thác chúng ở đâu chứ không phải là phải nhớ mấy cái phương thức hay các hàm rồi viết lên giấy vào đề thi cuối kỳ,Tiêu cực,Chương trình,33
"những phần trọng tâm bài tập thì cũng không nói được "" đây là phần quan trọng có trong đề thi các em cần chú ý "" .",0,1,train,những phần trọng tâm bài tập thì cũng không nói được đây là phần quan trọng có trong đề thi các em cần chú ý,Tiêu cực,Chương trình,25
"nghe , nói luyện tập cao .",1,1,train,nghe nói luyện tập cao,Tích cực,Chương trình,5
sử dụng phần mềm crack .,0,1,train,sử dụng phần mềm crack,Tiêu cực,Chương trình,5
không nên tổ chức thực hành hình thức 2 .,0,1,train,không nên tổ chức thực hành hình thức 2,Tiêu cực,Chương trình,9
nên thay đổi hình thức khảo sát với môn học này thì môn học này không có lên lớp và chỉ có đến hạn thì báo cáo với giảng viên .,0,1,train,nên thay đổi hình thức khảo sát với môn học này thì môn học này không có lên lớp và chỉ có đến hạn thì báo cáo với giảng viên,Tiêu cực,Chương trình,30
"em nghĩ chỉ nên bắt buộc các bài tập có dạng căn bản , còn bài tập tương tự thì chỉ khuyến khích sinh viên làm thêm .",0,1,train,em nghĩ chỉ nên bắt buộc các bài tập có dạng căn bản còn bài tập tương tự thì chỉ khuyến khích sinh viên làm thêm,Tiêu cực,Chương trình,26
"không thống nhất trước về hình thức thi và làm bài tập , đến những tuần cuối cùng mới công bố .",0,1,train,không thống nhất trước về hình thức thi và làm bài tập đến những tuần cuối cùng mới công bố,Tiêu cực,Chương trình,20
"em thấy những nội dung như vậy rất mơ hồ , có tính áp đặt suy nghĩ cho người học .",0,1,train,em thấy những nội dung như vậy rất mơ hồ có tính áp đặt suy nghĩ cho người học,Tiêu cực,Chương trình,19
em thấy môn này nhiều lý thuyết không đáp ứng đủ trong việc làm đồ án .,0,1,train,em thấy môn này nhiều lý thuyết không đáp ứng đủ trong việc làm đồ án,Tiêu cực,Chương trình,16
"đề thi thực hành cần nêu yêu cầu cụ thể , rõ ràng hơn .",0,1,train,đề thi thực hành cần nêu yêu cầu cụ thể rõ ràng hơn,Tiêu cực,Chương trình,13
"môn học cần phân chia hợp lý giữa các phần , phần nào khó cần nhiều thời gian để học nó , phần nào đã học thì chỉ ra những điểm đặc biệt cũng như thời gian học phần đó rút ngắn lại để các phần chưa học khác sẽ có thời gian nhiều hơn .",0,1,train,môn học cần phân chia hợp lý giữa các phần phần nào khó cần nhiều thời gian để học nó phần nào đã học thì chỉ ra những điểm đặc biệt cũng như thời gian học phần đó rút ngắn lại để các phần chưa học khác sẽ có thời gian nhiều hơn,Tiêu cực,Chương trình,53
"thực hành đúng tiêu chí môn học , đi từ dễ đến khó cho sinh viên học tập từng bước dễ hiểu , giảng viên tích cực giải đáp thắc mắc và hỗ trợ sinh viên trong giờ thực hành .",0,1,train,thực hành đúng tiêu chí môn học đi từ dễ đến khó cho sinh viên học tập từng bước dễ hiểu giảng viên tích cực giải đáp thắc mắc và hỗ trợ sinh viên trong giờ thực hành,Tiêu cực,Chương trình,38
cảm thấy hứng thú khi lên lớp .,1,1,train,cảm thấy hứng thú khi lên lớp,Tích cực,Chương trình,7
"cùng một kiến thức nhưng cách truyền đạt của thầy dễ hiểu hơn , phù hợp với đại đa số sinh viên và tất nhiên là hữu dụng cho các môn khác chứ không hề lan man , thiếu trọng tâm như các giảng viên toán khác .",1,1,train,cùng một kiến thức nhưng cách truyền đạt của thầy dễ hiểu hơn phù hợp với đại đa số sinh viên và tất nhiên là hữu dụng cho các môn khác chứ không hề lan man thiếu trọng tâm như các giảng viên toán khác,Tích cực,Chương trình,45
"phần kiểm tra , thi cử đối với môn này nên đề cao tính tư duy logic của người học cũng như khả năng áp dụng kiến thức đã học vào thực tế thực nghiệm bằng cách chủ yếu đánh giá cao phần thực hành , viết code , làm project .",1,1,train,phần kiểm tra thi cử đối với môn này nên đề cao tính tư duy logic của người học cũng như khả năng áp dụng kiến thức đã học vào thực tế thực nghiệm bằng cách chủ yếu đánh giá cao phần thực hành viết code làm project,Tích cực,Chương trình,48
"do môn còn mới nên nhiều vấn đề trục trặc trong quá trình thực hành thầy vẫn chưa giải quyết được , nhưng vẫn rất ủng hộ thầy .",1,1,train,do môn còn mới nên nhiều vấn đề trục trặc trong quá trình thực hành thầy vẫn chưa giải quyết được nhưng vẫn rất ủng hộ thầy,Tích cực,Chương trình,27
"nội dung môn học còn khô , cứng !",0,1,train,nội dung môn học còn khô cứng,Tiêu cực,Chương trình,7
"sau khi đã học xong môn nhập môn điện tử , em thiết nghĩ môn học này cần có thêm những phần học về thực tế , để sinh viên chúng em có thêm động lực khi học những phần lý thuyết đôi khi "" khô khan "" và "" xa lạ "" đồng thời sẽ tạo được sự đam mê với bộ môn điện tử nói chung ngay từ những ngày đầu học "" nhập môn "" .",0,1,train,sau khi đã học xong môn nhập môn điện tử em thiết nghĩ môn học này cần có thêm những phần học về thực tế để sinh viên chúng em có thêm động lực khi học những phần lý thuyết đôi khi khô khan và xa lạ đồng thời sẽ tạo được sự đam mê với bộ môn điện tử nói chung ngay từ những ngày đầu học nhập môn,Tiêu cực,Chương trình,70
"cơ sở dữ liệu năm nay đã kết hợp với thiết kế cơ sở dữ liệu rồi , kiến thức nhiều mà thi có phần trắc nghiệm nữa thì đánh giá kiến thức học được chưa đảm bảo cho lắm ạ .",0,1,train,cơ sở dữ liệu năm nay đã kết hợp với thiết kế cơ sở dữ liệu rồi kiến thức nhiều mà thi có phần trắc nghiệm nữa thì đánh giá kiến thức học được chưa đảm bảo cho lắm ạ,Tiêu cực,Chương trình,40
nội dung có liên hệ nhiều với thực tế .,1,1,train,nội dung có liên hệ nhiều với thực tế,Tích cực,Chương trình,9
môn học chỉ nên thuyết trình tìm hiểu về egov không làm đồ án .,0,1,train,môn học chỉ nên thuyết trình tìm hiểu về egov không làm đồ án,Tiêu cực,Chương trình,14
thực hành hình thức 2 khó có thể tham gia học thường xuyên lắm ạ !,0,1,train,thực hành hình thức 2 khó có thể tham gia học thường xuyên lắm ạ,Tiêu cực,Chương trình,15
"em thấy rất hài lòng về môn học này , nên em không có ý kiến gì khác cả .",1,1,train,em thấy rất hài lòng về môn học này nên em không có ý kiến gì khác cả,Tích cực,Chương trình,18
cần học môn lập trình trực quan trước .,0,1,train,cần học môn lập trình trực quan trước,Tiêu cực,Chương trình,8
thêm phần anh văn chuyên ngành vào nội dung học .,0,1,train,thêm phần anh văn chuyên ngành vào nội dung học,Tiêu cực,Chương trình,10
"cập nhật điểm thi giữa kỳ chậm , nên sinh viên không biết mức độ phấn đấu như thế nào !",0,1,train,cập nhật điểm thi giữa kỳ chậm nên sinh viên không biết mức độ phấn đấu như thế nào,Tiêu cực,Chương trình,19
thời gian nộp bài tại lớp hơi ngắn .,0,1,train,thời gian nộp bài tại lớp hơi ngắn,Tiêu cực,Chương trình,8
"cần có sách học hay , chi tiết , hiệu quả colonsmilesmile .",0,1,train,cần có sách học hay chi tiết hiệu quả colonsmilesmile,Tiêu cực,Chương trình,10
nội dung lý thuyết và thực hành của môn học không có bất kỳ liên hệ gì với nhau nội dung lý thuyết không phù hợp với môn học và không tạo được sự quan tâm và mong muốn của sinh viên về kiến thức quản trị mạng như mong đợi .,0,1,train,nội dung lý thuyết và thực hành của môn học không có bất kỳ liên hệ gì với nhau nội dung lý thuyết không phù hợp với môn học và không tạo được sự quan tâm và mong muốn của sinh viên về kiến thức quản trị mạng như mong đợi,Tiêu cực,Chương trình,51
không có giáo trình .,0,1,train,không có giáo trình,Tiêu cực,Chương trình,4
cần thêm bài tập và rèn luyện kỹ năng giao tiếp .,0,1,train,cần thêm bài tập và rèn luyện kỹ năng giao tiếp,Tiêu cực,Chương trình,11
"mọi việc điều được sinh viên tự học , tự tìm hiểu thông qua các trang mạng , thông qua việc email trực tiếp với giảng viên .",2,1,train,mọi việc điều được sinh viên tự học tự tìm hiểu thông qua các trang mạng thông qua việc email trực tiếp với giảng viên,Trung lập,Chương trình,25
"slide bài giảng còn lẫn lộn anh việt , phần tiếng việt thì giảng viên lại dùng google dịch nên đọc không hiểu .",0,1,train,slide bài giảng còn lẫn lộn anh việt phần tiếng việt thì giảng viên lại dùng google dịch nên đọc không hiểu,Tiêu cực,Chương trình,22
cần cho nhiều thời gian để sinh viên có đủ thời gian hoàn thành đồ án môn học .,0,1,train,cần cho nhiều thời gian để sinh viên có đủ thời gian hoàn thành đồ án môn học,Tiêu cực,Chương trình,18
"quá nhàm chán , không nâng cao được kiến thức .",0,1,train,quá nhàm chán không nâng cao được kiến thức,Tiêu cực,Chương trình,9
bài tập khắt khe .,2,1,train,bài tập khắt khe,Trung lập,Chương trình,4
theo thời khóa biểu hiện nay thì học thực hành trước nên sinh viên lúc thực hành chưa hiểu vấn đề nên khó khăn trong việc làm bài .,0,1,train,theo thời khóa biểu hiện nay thì học thực hành trước nên sinh viên lúc thực hành chưa hiểu vấn đề nên khó khăn trong việc làm bài,Tiêu cực,Chương trình,28
tài liệu tiếng anh gây khó khăn cho ôn thi .,0,1,train,tài liệu tiếng anh gây khó khăn cho ôn thi,Tiêu cực,Chương trình,10
việc phân chia nhóm không hợp lý dẫn tới chất lượng học tập không tốt .,0,1,train,việc phân chia nhóm không hợp lý dẫn tới chất lượng học tập không tốt,Tiêu cực,Chương trình,15
"phần máy tính không hỗ trợ cho việc học nhiều , chỉ làm sinh viên phân tán .",0,1,train,phần máy tính không hỗ trợ cho việc học nhiều chỉ làm sinh viên phân tán,Tiêu cực,Chương trình,16
"các dạng bài tập rõ ràng , tài liệu cung cấp đầy đủ .",1,1,train,các dạng bài tập rõ ràng tài liệu cung cấp đầy đủ,Tích cực,Chương trình,12
cần tăng thời gian học .,0,1,train,cần tăng thời gian học,Tiêu cực,Chương trình,5
"nên cải tiến hệ thống chấm điểm online , update bài tập cho tất cả học sinh làm rồi có bảng xếp hạng , như bên codefun của miền bắc .",0,1,train,nên cải tiến hệ thống chấm điểm online update bài tập cho tất cả học sinh làm rồi có bảng xếp hạng như bên codefun của miền bắc,Tiêu cực,Chương trình,28
bài giảng thực tế .,1,1,train,bài giảng thực tế,Tích cực,Chương trình,4
cần tuân thủ đúng và đủ giờ .,0,1,train,cần tuân thủ đúng và đủ giờ,Tiêu cực,Chương trình,7
