feedback,sentiment,topic,split,feedback_sach,ten_cam_xuc,ten_chu_de,so_tu
ida pro 64-bit hoàn toàn có thể phân tích các file thực thi 32-bit nhưng các thanh ghi phức tạp hơn nhiều thay cho ida pro 64-bit không phân tích được cái file thực thi 32-bit colonsmile .,0,3,train,ida pro 64 bit hoàn toàn có thể phân tích các file thực thi 32 bit nhưng các thanh ghi phức tạp hơn nhiều thay cho ida pro 64 bit không phân tích được cái file thực thi 32 bit colonsmile,Tiêu cực,Khác,41
không co ý kiến .,1,3,train,không co ý kiến,Tích cực,Khác,4
dễ thương .,1,3,train,dễ thương,Tích cực,Khác,2
không hiểu gì khi ngồi nghe trong lớp .,0,3,train,không hiểu gì khi ngồi nghe trong lớp,Tiêu cực,Khác,8
dễ chịu .,1,3,train,dễ chịu,Tích cực,Khác,2
xin cảm ơn !,2,3,train,xin cảm ơn,Trung lập,Khác,3
lòng nhiệt tình .,1,3,train,lòng nhiệt tình,Tích cực,Khác,3
ok hết .,1,3,train,ok hết,Tích cực,Khác,2
bằng chứng là kỳ thi cuối kỳ điểm trải dài từ 1 - 5 điểm .,0,3,train,bằng chứng là kỳ thi cuối kỳ điểm trải dài từ 1 5 điểm,Tiêu cực,Khác,14
chỉ tại em thiếu từ vựng anh văn .,2,3,train,chỉ tại em thiếu từ vựng anh văn,Trung lập,Khác,8
em ít khi lên lớp .,2,3,train,em ít khi lên lớp,Trung lập,Khác,5
em không hiểu bài nhiều .,0,3,train,em không hiểu bài nhiều,Tiêu cực,Khác,5
thật sự rất hài lòng .,1,3,train,thật sự rất hài lòng,Tích cực,Khác,5
chả có gì hài lòng .,0,3,train,chả có gì hài lòng,Tiêu cực,Khác,5
đánh giá cao colonsmile .,1,3,train,đánh giá cao colonsmile,Tích cực,Khác,4
"cô tận tâm , nhiệt tình .",1,3,train,cô tận tâm nhiệt tình,Tích cực,Khác,5
sinh viên chịu khó sẽ làm được bài .,1,3,train,sinh viên chịu khó sẽ làm được bài,Tích cực,Khác,8
ảnh hướng tới kết quả chung của em .,0,3,train,ảnh hướng tới kết quả chung của em,Tiêu cực,Khác,8
"rất tốt , không có ý kiến .",1,3,train,rất tốt không có ý kiến,Tích cực,Khác,6
đôi từ tiếng anh em chưa hiểu .,0,3,train,đôi từ tiếng anh em chưa hiểu,Tiêu cực,Khác,7
lớp học quá đông nên rất nóng .,0,3,train,lớp học quá đông nên rất nóng,Tiêu cực,Khác,7
có nắm được lý thuyết của môn học .,2,3,train,có nắm được lý thuyết của môn học,Trung lập,Khác,8
rất nản .,0,3,train,rất nản,Tiêu cực,Khác,2
em thấy học vậy cũng được rồi .,2,3,train,em thấy học vậy cũng được rồi,Trung lập,Khác,7
nói chung cũng tạm được .,2,3,train,nói chung cũng tạm được,Trung lập,Khác,5
"rõ ràng , căn bản , thực tế .",1,3,train,rõ ràng căn bản thực tế,Tích cực,Khác,6
được giảng viên hướng dẫn cụ thể dễ hiểu .,1,3,train,được giảng viên hướng dẫn cụ thể dễ hiểu,Tích cực,Khác,9
"thật sự bọn em cũng cạn lời , đành ngậm ngùi mò lên mạng tra search các kiểu hơn một tiếng đồng hồ mới làm được một câu .",0,3,train,thật sự bọn em cũng cạn lời đành ngậm ngùi mò lên mạng tra search các kiểu hơn một tiếng đồng hồ mới làm được một câu,Tiêu cực,Khác,27
hài hước .,1,3,train,hài hước,Tích cực,Khác,2
nhàm chán .,0,3,train,nhàm chán,Tiêu cực,Khác,2
không có gì cả ạ .,2,3,train,không có gì cả ạ,Trung lập,Khác,5
dễ gây nhàm chán .,0,3,train,dễ gây nhàm chán,Tiêu cực,Khác,4
đa số các giờ đều do sinh viên thuyết trình nhưng thực tế sinh viên đứng thuyết trình còn chưa hiểu bài làm sao trình bày lại cho các bạn hiểu .,0,3,train,đa số các giờ đều do sinh viên thuyết trình nhưng thực tế sinh viên đứng thuyết trình còn chưa hiểu bài làm sao trình bày lại cho các bạn hiểu,Tiêu cực,Khác,31
tất cả các hoạt động trên lớp .,2,3,train,tất cả các hoạt động trên lớp,Trung lập,Khác,7
"thích ngủ thì ngủ , ngoài ra chả có gì hài lòng .",0,3,train,thích ngủ thì ngủ ngoài ra chả có gì hài lòng,Tiêu cực,Khác,11
không biết .,2,3,train,không biết,Trung lập,Khác,2
thú vị .,1,3,train,thú vị,Tích cực,Khác,2
vâng không có ý kiến gì thêm .,2,3,train,vâng không có ý kiến gì thêm,Trung lập,Khác,7
hơi khó tiếp thu .,0,3,train,hơi khó tiếp thu,Tiêu cực,Khác,4
mấy cái khảo sát trước em tưởng một là tốt nhất nên đánh nhầm rồi ạ .,0,3,train,mấy cái khảo sát trước em tưởng một là tốt nhất nên đánh nhầm rồi ạ,Tiêu cực,Khác,16
có nhiều tài liệu hay .,1,3,train,có nhiều tài liệu hay,Tích cực,Khác,5
"cô rất chu đáo , nhiệt tình .",1,3,train,cô rất chu đáo nhiệt tình,Tích cực,Khác,6
rất hữu ích .,1,3,train,rất hữu ích,Tích cực,Khác,3
"cô nhiệt tình , dạy hay , nhiều bài tập .",1,3,train,cô nhiệt tình dạy hay nhiều bài tập,Tích cực,Khác,8
không có ý kiến thêm .,2,3,train,không có ý kiến thêm,Trung lập,Khác,5
cần hiểu rõ thêm cách kết nối prolog với c .,0,3,train,cần hiểu rõ thêm cách kết nối prolog với c,Tiêu cực,Khác,10
"không có , do em không có khả năng tiếp thu đối với môn này thôi .",2,3,train,không có do em không có khả năng tiếp thu đối với môn này thôi,Trung lập,Khác,15
ít thực tế .,0,3,train,ít thực tế,Tiêu cực,Khác,3
em thấy việc này khá bổ ích .,1,3,train,em thấy việc này khá bổ ích,Tích cực,Khác,7
rất cần cho việc phát triển sau này .,1,3,train,rất cần cho việc phát triển sau này,Tích cực,Khác,8
em xin góp ý như thế ạ .,2,3,train,em xin góp ý như thế ạ,Trung lập,Khác,7
dễ thương coloncontemn .,1,3,train,dễ thương coloncontemn,Tích cực,Khác,3
cô thoải mái .,1,3,train,cô thoải mái,Tích cực,Khác,3
em cám ơn !,2,3,train,em cám ơn,Trung lập,Khác,3
em rất hài lòng .,1,3,train,em rất hài lòng,Tích cực,Khác,4
"đồng thời , giảng viên rất tích cực , năng nổ trong việc giảng dạy , cung cấp cho sinh viên nhiều kiến thức bổ ích và cũng luôn vui vẻ , hoà đồng nhằm khiến sinh viên cảm thấy thoải mái khi đến lớp .",1,3,train,đồng thời giảng viên rất tích cực năng nổ trong việc giảng dạy cung cấp cho sinh viên nhiều kiến thức bổ ích và cũng luôn vui vẻ hoà đồng nhằm khiến sinh viên cảm thấy thoải mái khi đến lớp,Tích cực,Khác,41
chúng em không theo kịp !,0,3,train,chúng em không theo kịp,Tiêu cực,Khác,5
"nếu như một người không xem bài "" kỹ "" trước ở nhà .",2,3,train,nếu như một người không xem bài kỹ trước ở nhà,Trung lập,Khác,11
đến lớp hơi muộn do giao thông .,0,3,train,đến lớp hơi muộn do giao thông,Tiêu cực,Khác,7
phù hợp với thực tiễn .,1,3,train,phù hợp với thực tiễn,Tích cực,Khác,5
khổ lắm .,0,3,train,khổ lắm,Tiêu cực,Khác,2
hợp tác .,2,3,train,hợp tác,Trung lập,Khác,2
ảnh hưởng đến việc thực hành .,0,3,train,ảnh hưởng đến việc thực hành,Tiêu cực,Khác,6
em không có ý kiến gì thêm .,2,3,train,em không có ý kiến gì thêm,Trung lập,Khác,7
em cảm ơn .,2,3,train,em cảm ơn,Trung lập,Khác,3
em cám ơn .,2,3,train,em cám ơn,Trung lập,Khác,3
"chất lượng giảng dạy tốt , em rất hài lòng với cách dạy của cô .",1,3,train,chất lượng giảng dạy tốt em rất hài lòng với cách dạy của cô,Tích cực,Khác,14
"sản phẩm mình làm ra , đem người khác báo cáo thì không được hợp lý .",0,3,train,sản phẩm mình làm ra đem người khác báo cáo thì không được hợp lý,Tiêu cực,Khác,15
mà hơn nữa ngủ ở lớp học còn rất dễ bị đau lưng .,0,3,train,mà hơn nữa ngủ ở lớp học còn rất dễ bị đau lưng,Tiêu cực,Khác,13
"bởi chúng em đang đi học , phải học của nhiều môn khác nhau .",2,3,train,bởi chúng em đang đi học phải học của nhiều môn khác nhau,Trung lập,Khác,13
chất lượng kiến thức được giáo viên truyền đạt hay .,1,3,train,chất lượng kiến thức được giáo viên truyền đạt hay,Tích cực,Khác,10
rõ ràng .,1,3,train,rõ ràng,Tích cực,Khác,2
thiếu nghiêm túc trong học tập .,0,3,train,thiếu nghiêm túc trong học tập,Tiêu cực,Khác,6
"cô rất vui tính , giảng bài tận tình .",1,3,train,cô rất vui tính giảng bài tận tình,Tích cực,Khác,8
em rất thích !,1,3,train,em rất thích,Tích cực,Khác,3
tốt ạ .,1,3,train,tốt ạ,Tích cực,Khác,2
i love thầy !,1,3,train,i love thầy,Tích cực,Khác,3
rất hài lòng !,1,3,train,rất hài lòng,Tích cực,Khác,3
không .,2,3,train,không,Trung lập,Khác,1
"rồi một nhóm thì phải chấm điểm báo cáo cuối kỳ cho 3 nhóm khác , làm phiếu chấm điểm , soạn câu hỏi mà có yêu cầu ra đáp án đồ án của nhóm code chưa tới đâu thì sao mà ngồi đọc source của nhóm khác để code tiếp cho họ .",0,3,train,rồi một nhóm thì phải chấm điểm báo cáo cuối kỳ cho 3 nhóm khác làm phiếu chấm điểm soạn câu hỏi mà có yêu cầu ra đáp án đồ án của nhóm code chưa tới đâu thì sao mà ngồi đọc source của nhóm khác để code tiếp cho họ,Tiêu cực,Khác,51
không hiệu quả .,0,3,train,không hiệu quả,Tiêu cực,Khác,3
"dạy rất dễ hiểu và nhiệt tình , em rất thích cách giảng dạy của cô .",1,3,train,dạy rất dễ hiểu và nhiệt tình em rất thích cách giảng dạy của cô,Tích cực,Khác,15
hiện giờ em chưa có cách học đúng đắng .,0,3,train,hiện giờ em chưa có cách học đúng đắng,Tiêu cực,Khác,9
chúc thầy nhiều sức khỏe !,1,3,train,chúc thầy nhiều sức khỏe,Tích cực,Khác,5
không có điều gì !,2,3,train,không có điều gì,Trung lập,Khác,4
cần cải thiện nhiều .,0,3,train,cần cải thiện nhiều,Tiêu cực,Khác,4
tất cả đều phải sử dụng trên phần mềm mô phỏng proteus .,0,3,train,tất cả đều phải sử dụng trên phần mềm mô phỏng proteus,Tiêu cực,Khác,12
lớp ồn đến nỗi không muốn đi học .,0,3,train,lớp ồn đến nỗi không muốn đi học,Tiêu cực,Khác,8
"đa phần các bạn đều không thể hoàn thành trên lớp và phải về nhà làm thêm , nhưng hình thức làm bài ở nhà thì phải trình bày trên một file word nên rất bất tiện cho giáo viên chấm bài cũng như gia tăng tỉ lệ copy bài .",0,3,train,đa phần các bạn đều không thể hoàn thành trên lớp và phải về nhà làm thêm nhưng hình thức làm bài ở nhà thì phải trình bày trên một file word nên rất bất tiện cho giáo viên chấm bài cũng như gia tăng tỉ lệ copy bài,Tiêu cực,Khác,49
không hiểu bài cho lắm .,0,3,train,không hiểu bài cho lắm,Tiêu cực,Khác,5
cũng ổn .,2,3,train,cũng ổn,Trung lập,Khác,2
và còn rất nhiều vấn đề khác .,0,3,train,và còn rất nhiều vấn đề khác,Tiêu cực,Khác,7
"do học kỳ này em không thể đến lớp học môn này , nên em không thể đưa ra ý kiến gì thêm .",2,3,train,do học kỳ này em không thể đến lớp học môn này nên em không thể đưa ra ý kiến gì thêm,Trung lập,Khác,22
chào thầy fraction cô !,2,3,train,chào thầy fraction cô,Trung lập,Khác,4
nên đưa ra các vấn đề thường gặp .,0,3,train,nên đưa ra các vấn đề thường gặp,Tiêu cực,Khác,8
em xin chân thành cảm ơn !,2,3,train,em xin chân thành cảm ơn,Trung lập,Khác,6
em đã kết thúc một học kỳ ở đó !,2,3,train,em đã kết thúc một học kỳ ở đó,Trung lập,Khác,9
em không có bất kỳ điều gì hài hòng .,0,3,train,em không có bất kỳ điều gì hài hòng,Tiêu cực,Khác,9
cảm ơn thầy đã sửa lỗi khi cài vmware giúp em colonsmallsmile .,2,3,train,cảm ơn thầy đã sửa lỗi khi cài vmware giúp em colonsmallsmile,Trung lập,Khác,12
cũng hài lòng .,2,3,train,cũng hài lòng,Trung lập,Khác,3
đôi chỗ vẫn khó hiểu .,0,3,train,đôi chỗ vẫn khó hiểu,Tiêu cực,Khác,5
không hợp với cách giảng dạy .,0,3,train,không hợp với cách giảng dạy,Tiêu cực,Khác,6
khá tốt .,1,3,train,khá tốt,Tích cực,Khác,2
chưa hài lòng .,0,3,train,chưa hài lòng,Tiêu cực,Khác,3
"lý do doubledot vào 2 tuần cuối kỳ , sinh viên phải làm đồ án rất nhiều môn , phải ôn thi .",0,3,train,lý do doubledot vào 2 tuần cuối kỳ sinh viên phải làm đồ án rất nhiều môn phải ôn thi,Tiêu cực,Khác,20
em không có ý kiến gì cả .,2,3,train,em không có ý kiến gì cả,Trung lập,Khác,7
cảm thấy rất may mắn khi được học thầy .,1,3,train,cảm thấy rất may mắn khi được học thầy,Tích cực,Khác,9
không có ý kiến gì !,2,3,train,không có ý kiến gì,Trung lập,Khác,5
"có những ví dụ sinh động , dễ hiểu .",1,3,train,có những ví dụ sinh động dễ hiểu,Tích cực,Khác,8
hơi cứng nhắc trong vấn đề này .,0,3,train,hơi cứng nhắc trong vấn đề này,Tiêu cực,Khác,7
có ứng dụng thực tiễn thích hợp !,1,3,train,có ứng dụng thực tiễn thích hợp,Tích cực,Khác,7
tệ .,0,3,train,tệ,Tiêu cực,Khác,1
"không quen với giọng của thầy , có thể vì chưa quen nhanh được , nên đôi lúc hơi khó hiểu .",0,3,train,không quen với giọng của thầy có thể vì chưa quen nhanh được nên đôi lúc hơi khó hiểu,Tiêu cực,Khác,19
"môn này em học cải thiện nhưng mà nhà trường hủy môn em xong đăng tự ý đổi lớp lại , em không biết em không đi học nên chắc chắn em rớt .",0,3,train,môn này em học cải thiện nhưng mà nhà trường hủy môn em xong đăng tự ý đổi lớp lại em không biết em không đi học nên chắc chắn em rớt,Tiêu cực,Khác,32
tôi rất hài lòng .,1,3,train,tôi rất hài lòng,Tích cực,Khác,4
và quá gấp gáp .,0,3,train,và quá gấp gáp,Tiêu cực,Khác,4
chưa nói đến sinh viên tự tra .,0,3,train,chưa nói đến sinh viên tự tra,Tiêu cực,Khác,7
theo em nghĩ là quá nhiều cho 2 tín chỉ .,0,3,train,theo em nghĩ là quá nhiều cho 2 tín chỉ,Tiêu cực,Khác,10
khá khó hiểu .,0,3,train,khá khó hiểu,Tiêu cực,Khác,3
ôm đồm quá nhiều kỳ vọng .,0,3,train,ôm đồm quá nhiều kỳ vọng,Tiêu cực,Khác,6
không biết cô wzjwz327 là ai ?,2,3,train,không biết cô wzjwz327 là ai,Trung lập,Khác,6
đươc biết nhiều cái mới lạ .,1,3,train,đươc biết nhiều cái mới lạ,Tích cực,Khác,6
tuyệt !,1,3,train,tuyệt,Tích cực,Khác,1
trên đây là ý kiến về các vấn đề em nhận ra sau khi học .,2,3,train,trên đây là ý kiến về các vấn đề em nhận ra sau khi học,Trung lập,Khác,15
chép hơi nhiều .,0,3,train,chép hơi nhiều,Tiêu cực,Khác,3
nắm vững ngữ pháp và nâng cao được kỹ năng viết .,1,3,train,nắm vững ngữ pháp và nâng cao được kỹ năng viết,Tích cực,Khác,11
"cập nhật , cập nhật !",2,3,train,cập nhật cập nhật,Trung lập,Khác,4
thắc mắc ngay tại lớp những cái mình không hiểu .,2,3,train,thắc mắc ngay tại lớp những cái mình không hiểu,Trung lập,Khác,10
"nếu thầy đã không đảm bảo giờ lên lớp , thì khi ra bài thi và đề cương ôn tập nên chú ý đến việc rõ ràng , hướng dẫn rõ sinh viên biết mình phải học gì .",0,3,train,nếu thầy đã không đảm bảo giờ lên lớp thì khi ra bài thi và đề cương ôn tập nên chú ý đến việc rõ ràng hướng dẫn rõ sinh viên biết mình phải học gì,Tiêu cực,Khác,36
điều này xảy ra ở mọi tiết học .,0,3,train,điều này xảy ra ở mọi tiết học,Tiêu cực,Khác,8
giúp em biết được một phần thực tế của công việc sau này .,1,3,train,giúp em biết được một phần thực tế của công việc sau này,Tích cực,Khác,13
phải bỏ tiền học lại .,0,3,train,phải bỏ tiền học lại,Tiêu cực,Khác,5
chưa gặp lần nào .,2,3,train,chưa gặp lần nào,Trung lập,Khác,4
biết được một số kỹ năng .,1,3,train,biết được một số kỹ năng,Tích cực,Khác,6
cần nhiều hoạt động ngoại khóa .,0,3,train,cần nhiều hoạt động ngoại khóa,Tiêu cực,Khác,6
đảm bảo tốt .,1,3,train,đảm bảo tốt,Tích cực,Khác,3
mức độ quan tâm học sinh rất cao .,1,3,train,mức độ quan tâm học sinh rất cao,Tích cực,Khác,8
"mở các câu lạc bộ về lập trình sẽ giúp các sinh viên đầu khoá có cách tiếp cận môn học dễ dàng cũng như cách nghiên cứu về môn học , còn các sinh viên năm 3 năm 4 sẽ có cơ hội hướng dẫn các sinh viên đầu khoá , như vậy các anh chị khoá trên sẽ nắm chặt kiến thức hơn .",0,3,train,mở các câu lạc bộ về lập trình sẽ giúp các sinh viên đầu khoá có cách tiếp cận môn học dễ dàng cũng như cách nghiên cứu về môn học còn các sinh viên năm 3 năm 4 sẽ có cơ hội hướng dẫn các sinh viên đầu khoá như vậy các anh chị khoá trên sẽ nắm chặt kiến thức hơn,Tiêu cực,Khác,63
tiếc là học kỳ 2 em không đăng ký được lớp lập trình hướng đối tượng của cô !,1,3,train,tiếc là học kỳ 2 em không đăng ký được lớp lập trình hướng đối tượng của cô,Tích cực,Khác,18
cần trao đổi nhiều hơn với sinh viên qua các kênh của trường như web môn học chẳng hạn .,0,3,train,cần trao đổi nhiều hơn với sinh viên qua các kênh của trường như web môn học chẳng hạn,Tiêu cực,Khác,19
chỉ làm bài tập dựa trên tài liệu và tìm kiếm trên mạng .,0,3,train,chỉ làm bài tập dựa trên tài liệu và tìm kiếm trên mạng,Tiêu cực,Khác,13
sinh viên quá đông gây nóng nực .,0,3,train,sinh viên quá đông gây nóng nực,Tiêu cực,Khác,7
bảo học sinh không chịu học là không đúng .,0,3,train,bảo học sinh không chịu học là không đúng,Tiêu cực,Khác,9
chỉ có vấn đề là em chưa cố gắng .,0,3,train,chỉ có vấn đề là em chưa cố gắng,Tiêu cực,Khác,9
em rất cảm ơn cô ạ !,1,3,train,em rất cảm ơn cô ạ,Tích cực,Khác,6
khó nghe .,0,3,train,khó nghe,Tiêu cực,Khác,2
em cảm thấy khá bức xúc nhưng nếu truy ra lỗi của ai thì em tự nhận một phần về mình .,0,3,train,em cảm thấy khá bức xúc nhưng nếu truy ra lỗi của ai thì em tự nhận một phần về mình,Tiêu cực,Khác,21
quá nhanh .,0,3,train,quá nhanh,Tiêu cực,Khác,2
xinh .,1,3,train,xinh,Tích cực,Khác,1
không hài lòng gì cả .,0,3,train,không hài lòng gì cả,Tiêu cực,Khác,5
em không ý kiến .,2,3,train,em không ý kiến,Trung lập,Khác,4
đừng dư quá nhiều .,0,3,train,đừng dư quá nhiều,Tiêu cực,Khác,4
thực tế với hiện trạng .,2,3,train,thực tế với hiện trạng,Trung lập,Khác,5
listening .,2,3,train,listening,Trung lập,Khác,1
chưa tìm ra .,2,3,train,chưa tìm ra,Trung lập,Khác,3
hầu như không có vấn đề gì không hài lòng .,2,3,train,hầu như không có vấn đề gì không hài lòng,Trung lập,Khác,10
nếu kết thúc thực hành sớm .,2,3,train,nếu kết thúc thực hành sớm,Trung lập,Khác,6
có lịch học bù đã tự sắp .,1,3,train,có lịch học bù đã tự sắp,Tích cực,Khác,7
khiến sinh viên cảm thấy nản .,0,3,train,khiến sinh viên cảm thấy nản,Tiêu cực,Khác,6
hình dung chưa ?,2,3,train,hình dung chưa,Trung lập,Khác,3
"mỗi một vấn đề đều phải dừng lại hỏi xem còn sinh viên nào có cách khác không , hay đơn giản là cách hiểu khác trên cùng một vấn đề .",2,3,train,mỗi một vấn đề đều phải dừng lại hỏi xem còn sinh viên nào có cách khác không hay đơn giản là cách hiểu khác trên cùng một vấn đề,Trung lập,Khác,30
tất cả điều hài lòng .,1,3,train,tất cả điều hài lòng,Tích cực,Khác,5
vì đôi khi tụi em theo bài không kịp .,0,3,train,vì đôi khi tụi em theo bài không kịp,Tiêu cực,Khác,9
tích cực .,1,3,train,tích cực,Tích cực,Khác,2
sự tận tâm .,1,3,train,sự tận tâm,Tích cực,Khác,3
đúng như vậy luôn hi hi .,2,3,train,đúng như vậy luôn hi hi,Trung lập,Khác,6
"nếu em muốn học , em sẽ lên lớp học .",2,3,train,nếu em muốn học em sẽ lên lớp học,Trung lập,Khác,9
không hiểu bài giảng .,0,3,train,không hiểu bài giảng,Tiêu cực,Khác,4
mong phòng phòng thanh tra - pháp chế - đbcl có biện pháp xử lý .,0,3,train,mong phòng phòng thanh tra pháp chế đbcl có biện pháp xử lý,Tiêu cực,Khác,13
tất cả đều tốt .,1,3,train,tất cả đều tốt,Tích cực,Khác,4
em thi giữa kỳ được 9dot5 điểm .,2,3,train,em thi giữa kỳ được 9dot5 điểm,Trung lập,Khác,7
"em rất thích , em là một đứa không thích học môn xã hội nhưng học cô em rất thích nghe giảng .",1,3,train,em rất thích em là một đứa không thích học môn xã hội nhưng học cô em rất thích nghe giảng,Tích cực,Khác,21
